Time_1,Time_2,Time_3
3005,3489,3610
3010,3526,3608
2980,3480,3599
3011,3489,3602
2998,3488,3583
3005,3512,3590
3002,3505,3601
2984,3497,3618
3004,3514,3544
3019,3535,3607
3032,3509,3591
3023,3518,3591
3020,3491,3603
3001,3507,3609
3001,3513,3589
3022,3534,3596
3016,3499,3625
3003,3510,3626
3009,3507,3571
3002,3498,3595
3009,3469,3629
3002,3525,3579
2999,3499,3601
3000,3515,3637
2998,3504,3619
3004,3498,3594
3003,3503,3631
3011,3504,3621
3004,3469,3599
2988,3476,3601
3006,3482,3576
2990,3513,3614
3000,3502,3629
2998,3485,3586
3001,3501,3633
3003,3497,3588
3017,3504,3580
3008,3526,3592
3004,3473,3581
3003,3503,3603
3009,3467,3596
3017,3503,3603
3013,3503,3570
3002,3500,3611
3023,3463,3564
2996,3538,3647
3005,3473,3575
2999,3496,3592
3012,3492,3636
2998,3511,3614
2990,3518,3603
3021,3500,3626
2994,3520,3592
3023,3495,3620
2992,3502,3609
2989,3518,3569
3023,3508,3589
3007,3537,3606
3009,3515,3609
3000,3492,3616
3022,3498,3619
3008,3507,3606
3022,3518,3607
3034,3514,3590
3012,3514,3632
2980,3504,3613
3002,3519,3582
3010,3512,3597
3012,3508,3592
3010,3505,3622
2984,3503,3583
2994,3499,3619
2994,3504,3604
3018,3505,3598
3007,3512,3582
3007,3476,3583
3014,3497,3607
2986,3509,3577
2999,3492,3598
2999,3500,3612
2986,3494,3641
3012,3495,3617
3020,3486,3622
3005,3515,3602
3006,3540,3623
2988,3519,3592
3006,3502,3599
3006,3483,3602
3021,3505,3604
3010,3478,3628
2992,3491,3593
3000,3492,3585
3005,3508,3588
3009,3519,3598
3014,3525,3569
3000,3516,3633
2996,3506,3601
3007,3470,3638
2994,3498,3597
2999,3510,3583
3020,3502,3590
3010,3484,3606
3005,3532,3576
2991,3514,3612
3006,3507,3594
3006,3503,3634
3009,3477,3596
2989,3500,3579
2989,3510,3600
3001,3517,3612
3028,3505,3573
2991,3508,3613
2992,3501,3600
3023,3506,3617
2995,3521,3587
2997,3491,3617
3029,3453,3581
2992,3504,3602
3012,3491,3611
3029,3509,3608
2996,3499,3581
3001,3523,3597
3017,3515,3575
3006,3506,3592
3004,3512,3577
2999,3525,3604
2994,3504,3606
3024,3518,3593
3013,3500,3608
2992,3492,3591
3011,3527,3663
2988,3516,3622
3007,3503,3606
3028,3497,3594
3002,3514,3607
3007,3484,3600
3000,3491,3592
3000,3503,3612
3010,3502,3600
2984,3496,3574
3003,3513,3618
3011,3533,3585
2996,3521,3585
2997,3496,3592
2997,3511,3626
3007,3500,3604
3002,3538,3615
3012,3478,3608
2990,3512,3577
3002,3501,3616
3010,3477,3626
2999,3506,3641
3009,3490,3610
3007,3482,3609
3007,3525,3654
3005,3485,3614
3011,3523,3598
3008,3504,3614
2993,3498,3596
3012,3524,3598
3014,3494,3632
