Time_1,Time_2,Time_3,Time_4,Time_5
3006,3480,3597,2527,4004
3025,3506,3606,2498,4012
2982,3507,3570,2521,4013
3019,3511,3638,2506,3980
3000,3511,3583,2500,4048
2991,3500,3594,2488,3999
3002,3536,3600,2513,3991
3009,3502,3594,2491,3994
3003,3512,3600,2518,4010
3015,3522,3607,2499,3990
2999,3503,3604,2506,4019
3023,3515,3623,2507,4008
3001,3529,3591,2500,4008
2995,3514,3604,2527,4000
3000,3496,3594,2503,4017
3004,3495,3590,2482,4009
3019,3508,3592,2483,4004
2999,3510,3599,2492,4022
2984,3506,3609,2512,4016
3005,3481,3615,2479,4008
2997,3481,3617,2508,4007
2981,3491,3601,2473,4014
3016,3494,3604,2503,4024
2997,3523,3628,2498,3972
3000,3510,3646,2517,4015
3001,3510,3640,2528,3996
2979,3499,3614,2497,3996
3005,3485,3580,2505,4031
2992,3529,3616,2512,3995
2998,3473,3627,2517,4014
3001,3520,3559,2496,3998
3001,3509,3609,2497,4020
3005,3501,3614,2491,4007
3002,3536,3629,2534,3999
3020,3516,3585,2511,3983
2981,3494,3609,2513,4009
2997,3548,3620,2513,4007
3018,3483,3582,2509,4002
3012,3484,3633,2506,4015
3025,3508,3637,2517,4001
3008,3493,3617,2487,4008
2996,3531,3621,2524,4035
3012,3510,3635,2507,3981
3016,3516,3605,2516,4008
3010,3502,3618,2490,4037
3011,3507,3594,2500,4005
2997,3472,3578,2506,4030
3002,3533,3617,2497,3993
3009,3509,3598,2486,3991
3016,3491,3622,2518,4014
3011,3487,3595,2532,3985
3023,3483,3614,2499,4009
3004,3482,3608,2485,3988
2997,3539,3575,2521,4019
3015,3504,3585,2514,4024
3004,3494,3643,2511,4012
2995,3492,3635,2491,4001
2992,3517,3631,2501,4013
2995,3527,3630,2491,3993
3005,3485,3614,2480,4003
2998,3510,3608,2513,3984
3000,3511,3580,2536,4018
2998,3500,3631,2500,3986
2996,3487,3628,2508,4025
2996,3510,3585,2505,4011
2999,3489,3619,2480,3951
3005,3514,3599,2496,4019
2999,3484,3625,2504,4037
3017,3488,3604,2521,3982
3003,3470,3594,2487,4014
3004,3492,3584,2521,3960
3004,3505,3622,2498,3982
3012,3505,3633,2514,4009
3001,3501,3583,2486,3994
2990,3516,3589,2520,4017
3007,3537,3614,2485,4037
2998,3511,3634,2492,4013
2998,3533,3610,2497,3975
3009,3517,3625,2513,4017
2997,3539,3593,2515,4031
3000,3491,3594,2494,4028
2992,3522,3593,2478,3991
3011,3527,3628,2500,4025
2996,3488,3628,2521,3999
3006,3515,3600,2530,4006
3008,3514,3586,2511,4002
2995,3506,3613,2488,3997
3010,3512,3559,2485,3982
3004,3511,3588,2521,3986
3016,3489,3630,2465,3999
3011,3492,3579,2506,4034
2985,3496,3626,2497,3972
3004,3488,3607,2494,3986
2988,3483,3648,2510,4009
3000,3505,3620,2483,4010
3000,3511,3599,2469,4019
3002,3489,3581,2503,4013
3007,3499,3614,2501,3993
3004,3515,3617,2512,3994
3021,3514,3591,2538,3982
3003,3499,3613,2481,3993
3023,3509,3650,2492,4008
2993,3502,3597,2489,4017
3014,3503,3617,2526,3987
3002,3482,3591,2520,4047
3024,3506,3609,2501,4003
3026,3501,3571,2511,4038
3004,3527,3601,2518,4022
3009,3487,3627,2508,4051
3000,3478,3605,2507,4001
3018,3498,3597,2492,4000
2995,3499,3589,2505,4011
2983,3504,3604,2488,4012
3032,3508,3583,2496,4028
3025,3507,3648,2504,4035
2993,3499,3619,2502,4012
3037,3521,3630,2492,4023
3009,3504,3627,2507,3986
3004,3497,3622,2497,4006
3016,3497,3588,2531,4047
3000,3501,3575,2456,4023
3016,3503,3630,2508,3999
3009,3498,3632,2518,3995
3007,3549,3598,2480,4025
3006,3505,3600,2503,4020
3008,3501,3617,2497,4008
2993,3513,3595,2496,4019
2982,3493,3578,2493,3992
3008,3504,3584,2500,4034
3013,3520,3622,2508,4020
3011,3496,3599,2497,4011
3002,3516,3614,2496,3996
3005,3492,3584,2497,3992
3017,3480,3606,2509,4052
3019,3521,3619,2497,4013
2990,3513,3627,2517,3959
3002,3494,3602,2505,4010
3013,3519,3621,2497,4021
3002,3496,3608,2517,4000
3012,3514,3619,2520,3992
3005,3502,3560,2500,4024
3003,3508,3601,2514,4017
2993,3501,3623,2507,4022
3001,3523,3633,2513,4000
3005,3513,3614,2501,4024
3015,3490,3607,2525,3997
3009,3527,3592,2506,3993
2996,3509,3593,2513,4013
3008,3490,3608,2491,4004
3008,3490,3627,2493,3996
3013,3519,3583,2484,3986
3005,3523,3652,2504,3986
3005,3513,3568,2525,3987
2994,3471,3608,2522,4022
3010,3493,3624,2492,4003
3020,3531,3591,2510,4013
3000,3461,3567,2489,4018
2996,3503,3628,2516,4009
3021,3523,3610,2508,4044
2998,3514,3601,2509,3994
3003,3508,3582,2483,3987
3002,3468,3639,2491,4009
3004,3510,3608,2504,3996
3025,3481,3631,2491,3990
2998,3523,3584,2484,4009
2988,3512,3608,2457,3976
3005,3516,3615,2495,4015
3005,3528,3598,2514,3995
3014,3479,3586,2502,4031
3004,3530,3629,2501,3985
2993,3499,3583,2479,4022
3007,3511,3616,2501,4012
3008,3501,3637,2498,3964
3013,3515,3616,2499,4011
3014,3527,3583,2509,3990
3006,3501,3594,2507,3997
3020,3513,3619,2522,4020
2998,3493,3601,2494,3981
2986,3491,3599,2500,4008
2986,3498,3582,2513,4003
3007,3482,3631,2510,4004
2985,3494,3594,2530,4016
3002,3495,3625,2504,3985
2990,3493,3618,2525,4014
2999,3511,3580,2492,4007
3002,3523,3630,2522,3984
2987,3522,3609,2498,3988
3004,3501,3624,2515,4000
3018,3496,3608,2485,4015
3002,3487,3611,2485,4015
3004,3521,3604,2502,4016
3006,3523,3604,2503,3999
3010,3508,3612,2488,3965
3003,3516,3615,2517,3975
2991,3493,3650,2507,3996
3030,3495,3590,2463,4003
3011,3511,3599,2490,4020
3019,3491,3610,2505,3991
3011,3455,3618,2504,4012
3014,3505,3610,2489,3983
3003,3487,3612,2512,4009
3003,3511,3605,2509,3990
2990,3473,3604,2517,3993
3003,3532,3635,2508,4042
3000,3523,3585,2505,4027
3024,3505,3556,2494,3967
3002,3498,3647,2497,3987
2982,3482,3581,2493,4044
2998,3513,3658,2506,3984
3013,3529,3604,2497,3978
2994,3500,3625,2493,4019
3011,3514,3597,2537,3993
2980,3514,3626,2497,3998
2997,3504,3581,2502,3963
3015,3524,3588,2515,4003
3004,3494,3606,2484,4011
3002,3520,3647,2497,4002
3003,3510,3597,2484,4024
3005,3463,3618,2512,3999
2994,3492,3643,2469,4012
3005,3517,3574,2531,3990
3023,3519,3596,2497,3995
2985,3529,3617,2507,3974
3019,3498,3620,2503,4035
3000,3522,3623,2513,3972
3016,3506,3620,2528,4007
2980,3467,3645,2478,4008
3004,3487,3645,2512,4023
2992,3521,3606,2496,3998
3000,3521,3619,2501,4008
2989,3503,3617,2488,3968
3003,3525,3606,2529,3983
3018,3495,3565,2518,3986
2990,3504,3579,2537,3993
3010,3550,3624,2497,3986
2998,3505,3604,2521,3950
2984,3502,3622,2500,3977
3001,3514,3605,2517,4013
2991,3518,3598,2502,4011
3002,3481,3626,2527,4032
2995,3508,3605,2484,4034
3007,3510,3597,2523,3982
3002,3494,3618,2508,3981
3002,3488,3566,2483,3981
3029,3505,3592,2505,4004
3006,3513,3569,2520,4023
2979,3507,3577,2522,3991
3002,3526,3618,2502,3994
3008,3501,3610,2500,3994
3006,3515,3635,2500,4000
3002,3532,3588,2487,4041
2997,3525,3598,2537,4020
3002,3497,3608,2492,4020
3016,3533,3615,2511,3988
2998,3487,3604,2527,3975
3000,3521,3651,2518,4000
3012,3494,3606,2522,3995
3008,3497,3624,2492,4065
3017,3511,3599,2490,3998
3003,3486,3575,2502,4003
3009,3528,3609,2494,4021
3019,3501,3613,2489,3996
3000,3490,3602,2518,4024
2997,3492,3617,2504,4000
3000,3488,3628,2496,4000
3018,3501,3598,2476,4048
3002,3479,3580,2511,4003
3020,3505,3609,2496,4002
3022,3506,3615,2498,3953
2998,3510,3628,2503,4009
3007,3512,3584,2523,4020
3015,3493,3631,2493,3976
3010,3503,3608,2495,3971
3010,3519,3595,2532,3986
3008,3504,3622,2504,4003
3004,3539,3625,2488,4004
3007,3504,3591,2546,4020
2993,3502,3630,2511,4060
3009,3484,3602,2507,4059
3016,3492,3591,2498,4008
3005,3519,3621,2528,3997
3011,3493,3613,2495,4032
3010,3503,3607,2503,4006
2987,3515,3563,2497,4020
2999,3524,3630,2513,3989
2991,3469,3633,2507,4019
2982,3518,3585,2514,3994
3000,3525,3619,2510,4022
3013,3489,3591,2475,3981
3009,3514,3625,2510,3958
3009,3520,3589,2496,3975
3007,3514,3591,2508,3981
2985,3495,3607,2514,4015
3010,3501,3592,2517,4019
2995,3500,3623,2530,4003
3000,3502,3620,2514,3990
3011,3553,3619,2515,3976
3012,3499,3564,2524,4004
3012,3492,3610,2493,4004
3004,3489,3577,2504,4000
3007,3519,3626,2504,4018
3014,3490,3612,2507,4035
3018,3520,3634,2505,4008
3001,3518,3586,2508,4010
3007,3509,3607,2529,4030
2994,3479,3596,2517,4047
3015,3515,3574,2491,4025
3014,3512,3612,2478,3998
2992,3478,3586,2526,4009
3011,3496,3621,2509,3995
3008,3483,3601,2497,3981
2994,3518,3626,2533,3998
3011,3501,3611,2495,4039
3002,3500,3599,2515,4044
2996,3504,3595,2500,4000
3017,3496,3594,2509,3974
3003,3514,3603,2519,4015
3021,3494,3602,2506,3982
2994,3497,3573,2496,3992
2997,3505,3600,2498,4001
2987,3536,3593,2508,4041
2981,3517,3617,2509,4013
3017,3526,3611,2510,3987
3005,3526,3599,2501,4008
3015,3504,3601,2502,4004
3007,3507,3644,2506,4020
3006,3504,3590,2490,4007
3002,3500,3588,2509,3994
2997,3526,3599,2498,4017
3010,3513,3649,2498,4020
3007,3500,3595,2481,3992
2991,3497,3599,2522,3984
3018,3505,3604,2496,4001
3006,3540,3583,2470,3975
3010,3520,3620,2509,4053
3009,3511,3605,2489,4002
3008,3504,3633,2504,4012
2995,3516,3613,2504,3995
3007,3515,3596,2490,4036
3011,3518,3612,2491,4008
3024,3523,3573,2524,4013
3008,3497,3621,2493,3999
3013,3496,3576,2474,4006
3029,3494,3573,2504,3990
3009,3535,3589,2531,4005
3009,3497,3601,2514,4029
3013,3526,3604,2515,3961
2990,3515,3599,2515,3963
3000,3497,3612,2525,3973
3002,3504,3617,2484,4003
3013,3522,3599,2493,3996
3004,3501,3591,2512,4016
3003,3501,3602,2495,3969
3008,3528,3573,2505,3979
2991,3511,3656,2506,4005
3000,3502,3577,2512,4008
2998,3480,3593,2503,3997
2996,3497,3580,2494,3996
3011,3499,3630,2487,4022
3011,3503,3641,2518,4026
2996,3509,3571,2506,4009
3009,3520,3591,2523,4014
3013,3508,3592,2504,4014
3009,3512,3615,2495,4010
2999,3502,3631,2515,4040
3002,3484,3621,2501,3993
2996,3515,3567,2494,4011
3010,3496,3624,2503,4013
3007,3516,3612,2521,4065
2999,3507,3612,2467,4020
3013,3490,3612,2501,3987
3008,3507,3604,2503,3976
2998,3520,3592,2492,4009
2997,3500,3610,2511,4026
3017,3528,3617,2536,4023
2994,3482,3559,2495,3979
3015,3479,3580,2508,3961
3015,3526,3552,2509,4048
3012,3539,3630,2507,3981
3012,3494,3629,2521,3976
3023,3512,3585,2498,3997
3001,3527,3586,2522,4032
3003,3519,3602,2527,3985
2999,3497,3612,2501,4012
3003,3531,3592,2532,4028
3002,3500,3616,2485,4011
2992,3517,3603,2538,3991
3008,3486,3603,2469,3990
3010,3492,3585,2509,3999
3007,3516,3629,2492,3973
3000,3512,3590,2522,4002
3015,3505,3594,2504,4026
3005,3531,3597,2521,4009
2996,3531,3596,2510,3970
2989,3529,3573,2511,4034
3006,3502,3591,2501,3999
3019,3507,3616,2497,3954
2998,3491,3590,2535,3991
3023,3512,3581,2508,4026
3007,3495,3573,2462,3996
3013,3520,3586,2525,4004
